key,latitude,longitude,current,sim_start,start,end
fire_25411825,47.99424647609614,-108.58611623022789,2021-08-13,20210812_18,2021-08-13,2021-08-30
fire_25411825,47.99424647609614,-108.58611623022789,2021-08-14,20210813_18,2021-08-13,2021-08-30
fire_25411825,47.99424647609614,-108.58611623022789,2021-08-15,20210814_18,2021-08-13,2021-08-30
fire_25411825,47.99424647609614,-108.58611623022789,2021-08-16,20210815_18,2021-08-13,2021-08-30
fire_25411825,47.99424647609614,-108.58611623022789,2021-08-17,20210816_18,2021-08-13,2021-08-30
fire_25411825,47.99424647609614,-108.58611623022789,2021-08-18,20210817_18,2021-08-13,2021-08-30
fire_25411825,47.99424647609614,-108.58611623022789,2021-08-19,20210818_18,2021-08-13,2021-08-30
fire_25411825,47.99424647609614,-108.58611623022789,2021-08-20,20210819_18,2021-08-13,2021-08-30
fire_25411825,47.99424647609614,-108.58611623022789,2021-08-21,20210820_18,2021-08-13,2021-08-30
fire_25411825,47.99424647609614,-108.58611623022789,2021-08-22,20210821_18,2021-08-13,2021-08-30
fire_25411825,47.99424647609614,-108.58611623022789,2021-08-23,20210822_18,2021-08-13,2021-08-30
fire_25411825,47.99424647609614,-108.58611623022789,2021-08-24,20210823_18,2021-08-13,2021-08-30
fire_25411825,47.99424647609614,-108.58611623022789,2021-08-25,20210824_18,2021-08-13,2021-08-30
fire_25411825,47.99424647609614,-108.58611623022789,2021-08-26,20210825_18,2021-08-13,2021-08-30
fire_25411825,47.99424647609614,-108.58611623022789,2021-08-27,20210826_18,2021-08-13,2021-08-30
fire_25411825,47.99424647609614,-108.58611623022789,2021-08-28,20210827_18,2021-08-13,2021-08-30
fire_25411825,47.99424647609614,-108.58611623022789,2021-08-29,20210828_18,2021-08-13,2021-08-30
fire_25411825,47.99424647609614,-108.58611623022789,2021-08-30,20210829_18,2021-08-13,2021-08-30
fire_25017384,43.81026476886346,-121.08547497724646,2021-03-18,20210317_18,2021-03-18,2021-04-06
fire_25017384,43.81026476886346,-121.08547497724646,2021-03-19,20210318_18,2021-03-18,2021-04-06
fire_25017384,43.81026476886346,-121.08547497724646,2021-03-20,20210319_18,2021-03-18,2021-04-06
fire_25017384,43.81026476886346,-121.08547497724646,2021-03-21,20210320_18,2021-03-18,2021-04-06
fire_25017384,43.81026476886346,-121.08547497724646,2021-03-22,20210321_18,2021-03-18,2021-04-06
fire_25017384,43.81026476886346,-121.08547497724646,2021-03-23,20210322_18,2021-03-18,2021-04-06
fire_25017384,43.81026476886346,-121.08547497724646,2021-03-24,20210323_18,2021-03-18,2021-04-06
fire_25017384,43.81026476886346,-121.08547497724646,2021-03-25,20210324_18,2021-03-18,2021-04-06
fire_25017384,43.81026476886346,-121.08547497724646,2021-03-26,20210325_18,2021-03-18,2021-04-06
fire_25017384,43.81026476886346,-121.08547497724646,2021-03-27,20210326_18,2021-03-18,2021-04-06
fire_25017384,43.81026476886346,-121.08547497724646,2021-03-28,20210327_18,2021-03-18,2021-04-06
fire_25017384,43.81026476886346,-121.08547497724646,2021-03-29,20210328_18,2021-03-18,2021-04-06
